MouseId,Treatment,Type_of_neuron,Number_of_cFOS
Mouse_1,Quinpirole,PKCd+,13
Mouse_1,Quinpirole,PKCd+,22
Mouse_2,Quinpirole,PKCd+,38
Mouse_2,Quinpirole,PKCd+,39
Mouse_3,Vehicle,PKCd+,1
Mouse_3,Vehicle,PKCd+,0
Mouse_4,Vehicle,PKCd+,0
Mouse_4,Vehicle,PKCd+,0
Mouse_5,Vehicle,PKCd+,0
Mouse_5,Vehicle,PKCd+,1
Mouse_6,Vehicle,PKCd+,1
Mouse_6,Vehicle,PKCd+,2
Mouse_7,Quinpirole,PKCd+,36
Mouse_7,Quinpirole,PKCd+,22
Mouse_8,Quinpirole,PKCd+,42
Mouse_8,Quinpirole,PKCd+,32
Mouse_1,Quinpirole,PKCd-,2
Mouse_1,Quinpirole,PKCd-,3
Mouse_2,Quinpirole,PKCd-,5
Mouse_2,Quinpirole,PKCd-,5
Mouse_3,Vehicle,PKCd-,1
Mouse_3,Vehicle,PKCd-,1
Mouse_4,Vehicle,PKCd-,1
Mouse_4,Vehicle,PKCd-,0
Mouse_5,Vehicle,PKCd-,0
Mouse_5,Vehicle,PKCd-,0
Mouse_6,Vehicle,PKCd-,0
Mouse_6,Vehicle,PKCd-,1
Mouse_7,Quinpirole,PKCd-,6
Mouse_7,Quinpirole,PKCd-,3
Mouse_8,Quinpirole,PKCd-,9
Mouse_8,Quinpirole,PKCd-,6
